"Site","Title","Url","Id","Created","LastItemModifiedDate","ItemCount","Hidden","BaseTemplate"
"https://sustainabletimbertasmania.sharepoint.com/","_catalogs/hubsite",,"35cece50-bb3e-4db7-865f-7baa0e348bbd","5/02/2020 2:16:52 AM","3/02/2026 2:13:46 AM","1","True","101"
"https://sustainabletimbertasmania.sharepoint.com/","BusinessSystems",,"477d5638-53a4-4ac9-bab5-a3b5373c8899","19/05/2021 12:44:33 AM","3/02/2026 12:43:04 AM","1","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","ContractManagementDocuments",,"37033b41-b676-4b36-937a-2818818ea594","9/12/2020 12:27:19 AM","3/02/2026 12:43:04 AM","2","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","Documents",,"ef3cb2d5-a70f-4717-be2f-c51c4370d27e","30/03/2019 8:47:30 AM","3/02/2026 12:23:31 AM","224","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","EA Updates",,"46b52280-3879-47ee-81ad-d25053302876","25/08/2021 4:19:12 AM","3/02/2026 12:43:04 AM","15","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","Export Reports",,"e1b9bc29-a62c-4a41-ba47-ac1c9e96f361","23/09/2020 10:34:21 PM","3/02/2026 12:43:05 AM","25","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","FireRoster",,"dfe8a7de-a54c-4612-b046-b23c67b7e6fd","30/09/2021 5:42:22 AM","3/02/2026 2:25:02 AM","3","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","Images",,"f1c4b2ed-58ee-4a0a-a40e-9ec2496082d0","22/12/2019 10:49:07 PM","2/02/2026 11:18:31 PM","252","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","IWCommittee",,"bd246f8e-59e0-498a-ae20-ab24c5184d15","13/11/2025 12:59:09 AM","3/02/2026 12:43:05 AM","3","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","LOGR operational guidebook",,"4aba2608-2a65-4d3a-9549-ce9291b831d5","18/06/2025 3:56:34 AM","3/02/2026 12:43:05 AM","0","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","NewLibrary20240527163154",,"14e19145-fa1e-4d81-9e1c-fde04b354e8a","27/05/2024 6:31:56 AM","3/02/2026 12:43:05 AM","0","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","NewLibrary20240530084057",,"43fb00ca-4f11-4ff5-920a-fd1c1c4c8d62","29/05/2024 10:40:58 PM","3/02/2026 12:43:05 AM","0","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","News Articles",,"7c2de212-86c7-4b4d-8e2c-86d92b919599","19/02/2020 5:41:34 AM","3/02/2026 12:43:05 AM","63","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","Notice Board Media",,"6954e803-4f88-4b58-823e-9e693d869323","29/07/2024 6:18:49 AM","3/02/2026 12:43:06 AM","1","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","People & Culture",,"9bf5c0d7-22ff-4668-8197-4de52f6aae29","27/01/2021 2:20:15 AM","3/02/2026 12:43:06 AM","112","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","Positions",,"97a26548-e28c-441e-9cc6-883c9c13b5cd","5/10/2020 1:51:05 AM","3/02/2026 12:43:06 AM","10","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","PRDP",,"de90c63d-c1e1-4d1b-9d52-4a03a7ea7777","4/10/2020 11:58:35 PM","3/02/2026 12:43:06 AM","16","False","101"
"https://sustainabletimbertasmania.sharepoint.com/","Recordings",,"1be38c6d-6d15-4113-bbb1-c53bf17c9feb","5/10/2020 3:08:02 AM","3/02/2026 12:43:06 AM","9","False","101"
